IDEES,DESCRIPTION,NOM_AMENDEMENT,EXPOSE_SOMMAIRE,LABEL
simplification des démarches administratives,"réduire les réglementations environnementales et sanitaires. Simplifier les démarches administratives, démarches bureaucratiques chronophages qui sont des freins qui entravent le quotidien des agriculteurs",AMANR5L16PO419610B2436P0D1N001896,"Dans l’optique de renforcer l’efficacité du guichet unique et l’accompagnement des cédants et afin de rendre incontournable le dispositif France Services Agriculture pour tous les acteurs, il est proposé que l’attestation de passage à FSA constitue une pièce obligatoire du dossier de demande de retraite. 
Le parcours ainsi établi a fait l’objet d’un consensus à l’issue des concertations, régionales et nationale, menées en 2022-2023, et des recommandations du Conseil économique, social et environnemental. Cet accompagnement permet de répondre aux objectifs d’intérêt général de la
 politique agricole énoncés à l’article L. 1 du code rural et de la pêche",non
simplification des démarches administratives,"réduire les réglementations environnementales et sanitaires. Simplifier les démarches administratives, démarches bureaucratiques chronophages qui sont des freins qui entravent le quotidien des agriculteurs",AMANR5L16PO419610B2436P0D1N001540,"Cet article a pour but de réhausser les seuils de la nomenclature IOTA pour la protection et la consolidation des berges par des techniques autres que végétales vivantes. 
Un des objectifs du gouvernement, retranscrit dans le pacte en faveur de la haie, est la simplification des règlementations autour des haies. 
De plus, le gouvernement, dans ce même document, énonce qu’”une vision dynamique de l’évolution du linéaire de haie est nécessaire”. 
Ainsi, le rehaussement des seuils vise à répondre aux exigences du Pacte en faveur de la haie.",non
simplification des démarches administratives,"réduire les réglementations environnementales et sanitaires. Simplifier les démarches administratives, démarches bureaucratiques chronophages qui sont des freins qui entravent le quotidien des agriculteurs",AMANR5L16PO419610B2436P0D1N001964,"Cet amendement propose de mettre fin à la déforestation importée, en posant le principe général d’une interdiction complète de l’importation de produits dont la production a participé à de la déforestation.
De nombreux produits importés en France, comme le soja, le cacao ou encore l’huile de palme, sont responsables d’une déforestation majeure, dans des pays comme le Brésil, l’Indonésie ou la côte d’Ivoire. La forêt amazonienne a perdu 79 millions d’hectares entre 1970 et 2018, et la rapidité de cette déforestation ne cesse d’augmenter. Les cultures de Soja OGM au brésil ont augmenté de plus d’1,6 millions d’hectares par an entre 2011 et 2022.
Cette situation, non seulement nuit gravement à la planète, mais met en concurrence les cultivateurs du monde entier, en ne bénéficiant à la fin qu’aux multinationales : les paysans brésiliens ou indonésiens sont expropriés, pour laisser place à l’agro industrie, et les paysans français ne peuvent plus vendre leur soja, quand le soja OGM au Brésil vient casser les prix du marché.
Cette situation n’est cependant pas immuable. Le soja brésilien, par exemple, est majoritairement utilisé pour nourrir les bovins. Mais il est possible de se passer de tourteaux pour nourrir les vaches laitières, en produisant du lait tout herbe. De la même manière, il est tout à fait possible de stimuler la filière du soja français, non-OGM. Par ailleurs, l’interdiction de produits alimentaires contenant de l’huile de palme est également possible, et son interdiction dans le diesel a déjà été prise par la France.
Certes, en 2023, le règlement européen relatif à la déforestation a permis, pour une liste de produits (café, cacao, caoutchouc, huile de palme, soja, bœuf et bois, ainsi que leurs produits dérivés comme le cuir, le charbon de bois, le papier imprimé), d’interdire à partir de fin 2024 la mise sur le marché ou l’exportation depuis le marché européen de produits qui auraient contribué à la déforestation ou à la dégradation des forêts après le 31 décembre 2020, mais il convient d’en poser également le principe général en droit français afin d’aller plus loin en élargissant le champ des produits couverts et des écosystèmes à protéger.",non
simplification des démarches administratives,"réduire les réglementations environnementales et sanitaires. Simplifier les démarches administratives, démarches bureaucratiques chronophages qui sont des freins qui entravent le quotidien des agriculteurs",AMANR5L16PO419610B2436P0D1N001182,"L’article 9 du présent projet de loi établit les principes, objectifs et le fonctionnement du diagnostic modulaire qui sera mis en œuvre progressivement au plus tard en 2026.
Or, le diagnostic modulaire, tel qu’il a été pensé lors des concertations portant sur le pacte et la loi et d’orientation et d’avenir agricoles (PLOAA) et consacré par le pacte d’orientation pour le renouvellement des générations en agriculture, diffère dans sa rédaction et dans son esprit avec les dispositions de l’article 9 du présent projet de loi. En effet, la mise en place d’un diagnostic modulaire doit viser concrètement à délivrer une analyse à 360° permettant de projeter une exploitation vers l’avenir par sa capacité à résister au changement climatique et à être reprise par un jeune lors de la cession.
Cet amendement vise ainsi à reformuler le contenu et l’architecture globale du diagnostic modulaire et à supprimer le module d’évaluation de la qualité et de la santé des sols dans le corpus du diagnostic modulaire.
Ainsi, le contenu de diagnostic modulaire comportera notamment un module dit de stress-test climatique, un module d’évaluation économique de l’exploitation et un module consacré à l’aspect social du projet. Au-delà, il serait souhaitable que l’État travaille au déploiement d’autres modules comme par exemple une analyse de la performance de l’exploitation, une analyse des productions et leurs débouchés, des capacités de diversification de l’exploitation, mais aussi de ses capacités de restructuration, ainsi que de son environnement fiscal et social
En revanche, il ne paraît pas opportun de créer un diagnostic de la qualité et de la santé des sols notamment en raison de son impact potentiel sur le prix du foncier et de la création de contraintes nouvelles pour les exploitants. Le module dit de stress-test climatique pourrait toutefois inclure une analyse des sols en présence et de leur capacité de production à l’avenir.
Cet amendement est proposé en concertation avec la FNSEA et Jeunes agriculteurs.",oui
simplification des démarches administratives,"réduire les réglementations environnementales et sanitaires. Simplifier les démarches administratives, démarches bureaucratiques chronophages qui sont des freins qui entravent le quotidien des agriculteurs",AMANR5L16PO419865B2436P0D1N000757,"Cet amendement du groupe Socialistes et apparentés vise à soutenir les initiatives régionales de structuration de filières de légumineuses, dispositifs multi-acteurs innovants qui permettent aux acteurs de se coordonner et de gagner en efficacité dans le développement de la culture des légumineuses sur leur territoire.
La culture des légumineuses est un levier clé de la transition écologique du secteur agricole.
Elle permet ainsi de réduire l’usage des engrais azotés, grâce à la capacité naturelle des légumineuses à fixer l’azote de l’air dans le sol. Cela permet donc de réduire l’apport en engrais azotés, et donc d’éviter les émissions de protoxyde d’azote (N2O), gaz au pouvoir réchauffant 300 supérieur à celui du CO2, et représentant la moitié des émissions du secteur agricole.
De plus, planter des légumineuses en culture intermédiaire assure un couvert végétal permanent entre les cultures principales, pratique agroécologique aidant à la restauration des sols, en y augmentant l’activité biologique et le taux de matières organiques. Restaurer des sols dégradés permet ainsi d’augmenter la fertilité de ceux-ci, et d’améliorer les rendements.
La couverture permanente des sols permet aussi d’améliorer la stabilité structurale de ceux-ci et de lutter contre l’érosion. Dans un contexte de dérèglement climatique où les inondations vont se multiplier, la lutte contre l’érosion des terres agricoles est ainsi une mesure d’adaptation nécessaire.
Dans ce contexte, se sont créées dans plusieurs régions des projets de structuration de filières régionales de légumineuses, projets multi-acteurs portés soit par un consortium d’acteurs (PACALEG, en région PACA), soit par une association (FILEG en Occitanie), soit par la région (Protéi’NA en Nouvelle-Aquitaine). Il existe une dizaine de projets de ce type
 aujourd’hui.
Le but de ces initiatives est de permettre à tous les acteurs concernés d’une région donnée de s’organiser afin de gagner en efficacité dans le développement d’une filière agro-alimentaire de légumineuses.
Cela se traduit notamment par le développement de liens entre l’amont et l’aval, en permettant aux acteurs en lien avec les consommateurs (distributeurs, artisans…) de transmettre les attentes et besoins de la clientèle aux acteurs plus en amont (producteurs et transformateurs). Le lien est également créé entre la recherche et les producteurs, en construisant des programmes de recherche agronomique en collaboration avec ces derniers afin d’optimiser les techniques agricoles et optimiser les rendements.
La mutualisation des moyens et des intelligences permet aussi de faire des investissements stratégiques, afin par exemple d’acheter certains équipements nécessaires (récolte, stockage des légumineuses…), créer de nouveaux débouchés, en lien avec les acteurs locaux de l’agroalimentaire et de la restauration collective, élaborer une stratégie de sensibilisation et promotion des légumineuses auprès des consommateurs…Cette organisation permet aussi la conclusion de contrats de filière, afin de garantir aux producteurs des revenus stable.
Il est donc nécessaire que ces plans pluriannuels précisent le soutien de l’État à l’animation et la coordination de ces initiatives régionales œuvrant à la structuration de filières de légumineuses.
Cet amendement est issu d’une proposition de Déclic collectif.",non
simplification des démarches administratives,"réduire les réglementations environnementales et sanitaires. Simplifier les démarches administratives, démarches bureaucratiques chronophages qui sont des freins qui entravent le quotidien des agriculteurs",AMANR5L16PO419865B2436P0D1N000166,"Cet amendement vise à éviter la spéculation autour des coûts des diagnostics, qui pourrait entraver ou retarder les processus de transmission et d'installation des exploitations agricoles. En fixant des limites tarifaires, revues annuellement, nous assurons que les diagnostics restent accessibles pour tous les exploitants agricoles, indépendamment de leur situation financière. Il cherche à protéger les agriculteurs des fluctuations de prix potentielles qui pourraient les désavantager dans des moments critiques dans la transmission de l'exploitation. En établissant un cadre tarifaire clair et ajustable, cet amendement contribue directement à la facilitation des transmissions.",non
simplification des démarches administratives,"réduire les réglementations environnementales et sanitaires. Simplifier les démarches administratives, démarches bureaucratiques chronophages qui sont des freins qui entravent le quotidien des agriculteurs",AMANR5L16PO419610B2436P0D1N002761,"Face au déclin inquiétant du secteur de l’élevage en France et aux menaces qu’il fait peser sur la souveraineté agricole dans les productions animales, ainsi que sur les bénéfices sociaux, économiques, territoriaux et environnementaux qu’il engendre, il est impératif que le Gouvernement prenne des mesures concrètes, en mettant en œuvre un plan ambitieux de souveraineté de l’élevage en France.
Ce plan, dont la mise en œuvre est désormais urgente, doit inverser cette tendance néfaste en préservant le potentiel de production de ce secteur agricole crucial. 
Il est essentiel que ce plan soit conçu de manière à relever efficacement les multiples défis auxquels l’élevage est confronté, de la sécurité alimentaire à la vitalité économique des zones.",non
simplification des démarches administratives,"réduire les réglementations environnementales et sanitaires. Simplifier les démarches administratives, démarches bureaucratiques chronophages qui sont des freins qui entravent le quotidien des agriculteurs",AMANR5L16PO419610B2436P0D1N002990,"La garantie d’un revenu et de conditions de vie dignes pour les agriculteurs est une condition d’atteinte de la souveraineté alimentaire notamment en ce qu’elle garantissent l’attractivité du métier d’agriculteur. 
Cet amendement donne sa juste place à la problématique du revenu des agriculteurs, de leurs conditions de travail et de la répartition de la valeur dans les objectifs des politiques publiques concourant à la protection de la souveraineté alimentaire. Cet amendement a été travaillé avec le Collectif Nourrir.",non
simplification des démarches administratives,"réduire les réglementations environnementales et sanitaires. Simplifier les démarches administratives, démarches bureaucratiques chronophages qui sont des freins qui entravent le quotidien des agriculteurs",AMANR5L16PO419610B2436P0D1N003266,"De plus en plus de femmes souhaitent s’installer en agriculture. Cependant malgré cette évolution, un certain nombre d’entre elles continuent de se confronter à des freins liés à leur genre. Le point d’accueil devra ainsi veiller à lutter contre les discriminations afin de garantir à chaque personne qui le souhaite, de pouvoir être accompagnée dans son installation et à la pérennisation de son activité.",non
simplification des démarches administratives,"réduire les réglementations environnementales et sanitaires. Simplifier les démarches administratives, démarches bureaucratiques chronophages qui sont des freins qui entravent le quotidien des agriculteurs",AMANR5L16PO419610B2436P0D1N001742,"Cet amendement du groupe Socialistes et apparentés vise à garantir que le maintien des activités agricoles dans les zones humides fera l’objet d’une attention particulière, notamment dans le cadre de la transmission des exploitations agricoles situées dans ces milieux. Ainsi, par cet amendement, le conseil ou l’accompagnement fournis à ces exploitations prend en compte les particularités de ces milieux, et en particulier leurs services écosystémiques.
Les structures agréées du réseau « France services agriculture » prévues par l’article 10 doivent fournir aux porteurs de projet d’installation un conseil ou un accompagnement pour consolider la viabilité économique, environnementale et sociale de son projet, notamment au regard du changement climatique.
Ce conseil et cet accompagnement doivent prendre en considération les particularités qui affectent les exploitations situées en zone humide. Outre les services écosystémiques que ces milieux offrent au profit de l’ensemble du système agricole et leur contribution à la réduction des émissions de gaz à effet de serre, les zones humides participent directement à la production alimentaire, en accueillant pour certains d’entre eux des activités de culture, de maraîchage et d’élevage.
Les activités agricoles qui y sont exercées participent de leur entretien et sont donc essentielles au maintien des équilibres de ces milieux.
Pour autant, les exploitations situées dans les zones humides sont concernées au premier titre par les spécificités de ces milieux. En effet, les zones humides exposent les exploitations à des particularités en termes de sols et d’eau, qui peuvent affecter les rendements agricoles et engendrer des surcoûts d’exploitation et obérer, à termes, les perspectives de leur pérennité.",non
