IDEES,DESCRIPTION,NOM_AMENDEMENT,EXPOSE_SOMMAIRE,LABEL
Distorsions de concurrence,Les normes environnementales pénalisent les agriculteurs français en les exposant à la concurrence déloyale d’acteurs étrangers soumis à des standards moins rigoureux et une charge administrative moindre,AMANR5L16PO791932BTC2600P0D1N004854.json,Ce sous-amendement vise à éviter des situations de surtransposition réglementaire et donc des distorsions de concurrence inacceptables avec les autres États membres de l’Union européenne en permettant au ministre de l’Agriculture de décider de l’autorisation des molécules essentielles à la production agricole.,oui
Distorsions de concurrence,Les normes environnementales pénalisent les agriculteurs français en les exposant à la concurrence déloyale d’acteurs étrangers soumis à des standards moins rigoureux et une charge administrative moindre,AMANR5L16PO791932BTC2600P0D1N002893.json,"Dans son rapport rendu en octobre 2023, le Conseil général de l’alimentation, de l’agriculture et des espaces ruraux s’interroge sur la pertinence et la multiplication des informations concernant l’étiquetage des produits alimentaires. L’information du consommateur est un sujet très complexe et doit faire l’objet d’une réflexion globale guidée par les politiques publiques. Ainsi, il est primordial d’inscrire dans cette proposition de loi programmatique, un alinéa s’agissant de la provenance des produits transformés. Depuis le 8 décembre 2023, la filière viticole doit se soumettre à une nouvelle réglementation européenne. Cette réglementation n°2021/2117 impose à ces derniers d’indiquer la liste des ingrédients et des valeurs nutritionnelles sur les bouteilles de vins. Cette nouvelle contrainte, dématérialisée ou non, doit alors être source d’opportunité pour ce secteur afin d’indiquer la provenance du vin et garantir une traçabilité des produits. Ce type de proposition permettra ainsi d’éviter les distorsions de concurrence tel que la francisation des vins. Les autres filières agricoles pourront s’inspirer de la filière viticole en termes de traçabilité de la chaîne de production.",oui
Distorsions de concurrence,Les normes environnementales pénalisent les agriculteurs français en les exposant à la concurrence déloyale d’acteurs étrangers soumis à des standards moins rigoureux et une charge administrative moindre,AMANR5L16PO791932BTC2600P0D1N002656.json,"Lors des dernières manifestations, le monde agricole a fait clairement savoir que les lourdeurs administratives relatives à la transition écologique étaient une véritable source de distorsion de concurrence avec d’autres États. S’il est évident que la transition écologique doit être considérée avec sérieux, elle ne peut se faire au détriment de l’activités des agriculteurs.Il convient dès lors de s’assurer que la capacité de la France à répondre aux contraintes climatiques ne se fasse contre l’intérêt des agriculteurs.",oui
Distorsions de concurrence,Les normes environnementales pénalisent les agriculteurs français en les exposant à la concurrence déloyale d’acteurs étrangers soumis à des standards moins rigoureux et une charge administrative moindre,AMANR5L16PO791932BTC2600P0D1N004852.json,Ce sous-amendement vise à éviter des situations de surtransposition réglementaire et donc des distorsions de concurrence inacceptables avec les autres États membres de l’Union européenne en permettant au ministre de l’Agriculture de décider de l’autorisation des molécules essentielles à la production agricole.,oui
Distorsions de concurrence,Les normes environnementales pénalisent les agriculteurs français en les exposant à la concurrence déloyale d’acteurs étrangers soumis à des standards moins rigoureux et une charge administrative moindre,AMANR5L16PO791932BTC2600P0D1N002677.json,"Les agriculteurs français, comme leurs homologues dans d'autres États membres de l'Union européenne, sont soumis à une réglementation européenne. Cependant, la transposition de cette législation européenne dans le droit national français se caractérise souvent par une tendance excessive à la surtransposition, entraînant des distorsions de concurrence préjudiciables à nos agriculteurs.Il est impératif que nous procédions rapidement à une révision des transpositions des directives européennes dans notre législation nationale, afin de redéfinir les contours de manière à garantir une concurrence équitable pour nos agriculteurs. Ce texte pas suffisamment ouvert, sous peine de voir nos amendements jugés irrecevables, nous empêche d'apporter des réponses concrètes aux attentes des agriculteurs et des français. Aussi, nous demandons que le gouvernement s'engage à proposer ou accepter dans un prochain Projet loi des mesures législatives dans ce sens.",oui
Distorsions de concurrence,Les normes environnementales pénalisent les agriculteurs français en les exposant à la concurrence déloyale d’acteurs étrangers soumis à des standards moins rigoureux et une charge administrative moindre,AMANR5L16PO791932BTC2600P0D1N004035.json,"Les agriculteurs français subissent des distorsions de concurrences dramatiques avec les agriculteurs des autres États membres. En effet, les différences de normes sociales et environnementales sont telles qu’ils ne peuvent être compétitifs.Il faut s’opposer à l’élargissement de l’Union européenne qui continuerait à aggraver ce phénomène.",oui
Distorsions de concurrence,Les normes environnementales pénalisent les agriculteurs français en les exposant à la concurrence déloyale d’acteurs étrangers soumis à des standards moins rigoureux et une charge administrative moindre,AMANR5L16PO791932BTC2600P0D1N004652.json,"L'interdiction des produits phytopharmaceutiques contenant des substances actives de la famille des néonicotinoïdes et des semences traitées avec ces produits à partir du 1er septembre 2018 a engendré une perte de 30 % des rendements au niveau national, alors que la France était le premier pays producteur de sucre au niveau européen. Ces interdictions françaises minent la filière alors que beaucoup de pays membres de l'Union continuent d'utiliser ces substances. Cela engendre une distorsions de concurrence totalement injuste pour nos agriculteurs. Proposé par la FNSEA, cet amendement vise à revenir sur ces interdictions.",oui
Distorsions de concurrence,Les normes environnementales pénalisent les agriculteurs français en les exposant à la concurrence déloyale d’acteurs étrangers soumis à des standards moins rigoureux et une charge administrative moindre,AMANR5L16PO791932BTC2600P0D1N004853.json,Ce sous-amendement vise à éviter des situations de surtransposition réglementaire et donc des distorsions de concurrence inacceptables avec les autres États membres de l’Union européenne en permettant au ministre de l’Agriculture de décider de l’autorisation des molécules essentielles à la production agricole.,oui
Distorsions de concurrence,Les normes environnementales pénalisent les agriculteurs français en les exposant à la concurrence déloyale d’acteurs étrangers soumis à des standards moins rigoureux et une charge administrative moindre,AMANR5L16PO419610B2436P0D1N002046.json,"Selon l’Institut national de recherche pour l’agriculture, l’alimentation et l’environnement (INRAe), 88 hectares de terres agricoles disparaissent chaque jour en France sous la pression de l’artificialisation des terres et de l’abandon de l’usage agricole au profit de terres boisées et naturelles. En parallèle, se dessine une tendance à l'augmentation de la taille des exploitations.Cette double dynamique complique l'installation de nouveaux agriculteurs, qui doivent composer avec des terres plus rares et plus chères. En 2020, elles exploitent en moyenne 69 hectares (ha), soit 14 ha de plus qu'en 2010 et 27 de plus qu'en 2000 (chiffres du ministère de l'agriculture). Alors qu'il ne pourra y avoir de renouvellement des générations sans régulation du foncier agricole - qui est le support de l’installation - ce projet de loi ne comprend qu'une seule mesure sur la question: la création de groupements fonciers agricoles d’investissement (GFAI). Cet article prévoit d’attirer des capitaux privés pour financer l’effort d’investissement nécessaire lors de l’installation en agriculture, mais surtout comme le mentionne l'alinéa 2 : ""dans l’intérêt de ces derniers"". Les auteurs de cet amendement souhaitent supprimer cet article qui risque d'aboutir à une financiarisation de l’agriculture. Ces nouveaux dispositifs risquent d'être de nouveaux moyens de contournement de la loi Sempastous. Nous redoutons par ailleurs un risque de renchérissement du prix du foncier. La rentabilité agricole étant limitée, les investisseurs risquent de se rémunérer via l’augmentation du prix du foncier.Par ailleurs, l'impact fiscal de la mesure est insuffisamment évalué: les collectivités locales risquent de voir disparaitre les droits de mutation. Il y aura également 25% d’abattement sur le revenu imposable, ce qui pourrait créer une distorsion de concurrence entre le GFAI et l’agriculteur.Quand au fermier, il ne pourra plus bénéficier de son droit de préemption.",oui
Distorsions de concurrence,Les normes environnementales pénalisent les agriculteurs français en les exposant à la concurrence déloyale d’acteurs étrangers soumis à des standards moins rigoureux et une charge administrative moindre,AMANR5L16PO791932BTC2600P0D1N004446.json,"La rédaction de ce nouvel article liminaire du code rural et de la pêche maritime, issue de la commission, ne définit toujours pas la notion de souveraineté alimentaire. Aussi convient-il de commencer cet article liminaire par la définition de la notion qui est ensuite utilisée dans le reste de l'article.La définition proposée dans cet amendement s’appuie sur celle formulée par FranceAgriMer dans son rapport : "" Souveraineté alimentaire : un éclairage par les indicateurs de bilan "", publié en février 2023, qui définit la souveraineté alimentaire comme étant "" la capacité d’autodétermination d’un État sur les systèmes alimentaires qui se déploient sur son territoire "". Ce rapport indique par ailleurs que "" penser la souveraineté alimentaire, (…) n’est pas nécessairement tendre à l’indépendance absolue mais s’assurer d’une maîtrise considérée comme suffisante des dépendances externes, jugées pertinentes, nécessaires ou indispensables "".Par ailleurs, la formulation retenue affirmant que "" l’agriculture, la pêche et l’aquaculture sont d’intérêt général majeur "" risque de transformer l’agriculture en un bien public, pouvant justifier un droit de regard collectif sur les politiques agricoles.Ensuite le second volet de l’article portant sur la souveraineté alimentaire qui reprend en partie les termes de l’actuel L. 1 du code rural et de la pêche maritime créé une confusion dans les priorités des politiques publiques. Cette perte de lisibilité législative conduira donc inévitablement à une totale inefficacité des principes posés dans la loi.C’est la raison pour laquelle, le présent amendement qui traduit juridiquement la volonté politique de rééquilibrer les intérêts agricoles et intérêts environnementaux vise à inscrire le principe fondamental selon lequel la protection, la valorisation et le déploiement de l’agriculture sont reconnus d’intérêt général majeur.La qualification d’intérêt général majeur de la protection de l’agriculture permettra de placer l’agriculture au même rang que d’autres activités. En effet, à l’instar de la protection des espaces naturels ou de la préservation des espèces animales (art 1 Loi n°76-629 du 10/07/1976), de la protection des forêts (art. L. 112-1 c. for.), de la préservation des zones humides (L. 211-1-1 c. env.), il est en effet indispensable que l’activité agricole puisse bénéficier d’une telle reconnaissance. Si l’insertion de ces principes à l’article L. 1 du code rural et de la pêche maritime est indispensable, une telle affirmation de portée principalement politique nécessitera des ajouts complémentaires permettant de mieux protéger l’activité agricole en cas d’atteinte caractérisée et d’en faciliter sa mise en valeur. Par ailleurs, le travail en commission n'a pas permis de mentionner la question de la surtransposition des normes européennes, alors que les agriculteurs français sont asphyxiés par les surtranspositions de normes européennes en France,qui les placent dans une situation de concurrence déloyale vis-à-vis des agriculteurs des autres États membres.Il est indispensable de revenir sur cette escalade de normes qui fait obstacle à la productivité de notre agriculture et impacte négativement nos filières. Cela doit permettre de redonner aux agriculteurs les moyens de produire une alimentation dont la demande ne fait qu’augmenter.Enfin dans le texte sorti de commission, il n'est pas fait mention du levier essentiel de la commande publique pour soutenir l'effort de souveraineté alimentaire : les différentes administrations, les services de restauration scolaire et universitaire, doivent être en mesure de privilégier les produits français. De manière générale, il convient également de soutenir les produits de qualité reconnus par un label tel que l'Indication Géographique Protégée. Ces labels sont une arme essentielle dans la reconquête de la souveraineté alimentaire.",oui
